# traces ,# t > 4.5 t,max
93600,60225,224.6008
93700,60240,224.6293
93800,60268,224.7779
93900,60273,224.859
94000,60302,225.0534
94100,60312,225.0608
94200,60318,225.154
94300,60340,225.2446
94400,60351,225.3639
94500,60369,225.414
94600,60395,225.5469
94700,60443,225.6322
94800,60456,225.7665
94900,60450,225.7994
95000,60476,225.9003
95100,60467,225.8951
95200,60515,226.0561
95300,60541,226.1444
95400,60553,226.1412
95500,60577,226.2446
95600,60577,226.3141
95700,60602,226.5023
95800,60620,226.5739
95900,60655,226.771
96000,60682,226.9828
96100,60709,227.135
96200,60779,227.051
96300,60780,227.1682
96400,60778,227.1204
96500,60783,227.2751
96600,60797,227.4077
96700,60843,227.5421
96800,60849,227.7379
96900,60870,227.8327
97000,60847,227.7763
97100,60901,227.897
97200,60862,227.9608
97300,60861,227.8808
97400,60915,228.0336
97500,60955,228.2593
97600,60990,228.3014
97700,61023,228.4555
97800,61037,228.6418
97900,61058,228.7697
98000,61034,228.8208
98100,61065,228.9902
98200,61092,229.1418
98300,61108,229.3232
98400,61144,229.3853
98500,61182,229.5735
98600,61202,229.6023
98700,61230,229.7647
98800,61233,229.8861
98900,61237,229.873
99000,61234,229.9203
99100,61269,230.0293
99200,61253,230.0739
99300,61257,230.2763
99400,61289,230.506
99500,61314,230.7072
99600,61305,230.8965
99700,61316,231.0123
99800,61330,231.2395
99900,61343,231.3331
100000,61343,231.4353
100100,61356,231.5854
100200,61376,231.6799
100300,61403,231.8062
100400,61414,232.015
100500,61429,232.1553
100600,61440,232.1365
100700,61446,232.2592
100800,61473,232.1991
100900,61490,232.3882
101000,61482,232.4279
101100,61493,232.5418
101200,61507,232.7459
101300,61527,232.8863
101400,61537,232.9673
101500,61540,233.0871
101600,61558,233.2284
101700,61592,233.3611
101800,61587,233.5354
101900,61633,233.6805
102000,61632,233.8295
102100,61634,233.8905
102200,61609,234.0224
102300,61654,234.1659
102400,61685,234.1104
102500,61703,234.2555
102600,61727,234.3754
102700,61736,234.4927
102800,61732,234.5876
102900,61760,234.7017
103000,61790,234.8638
103100,61769,234.9052
103200,61793,234.9415
103300,61786,235.142
103400,61805,235.332
103500,61822,235.4867
103600,61846,235.6043
103700,61871,235.7013
103800,61881,235.8218
103900,61926,235.9351
104000,61943,236.0824
104100,61963,236.2658
104200,61979,236.4291
104300,62004,236.5036
104400,62018,236.4944
104500,62002,236.6093
104600,62026,236.6922
104700,62056,236.7413
104800,62035,236.8873
104900,62055,237.0842
105000,62073,237.295
105100,62093,237.2923
105200,62110,237.4334
105300,62107,237.5354
105400,62147,237.6318
105500,62168,237.6358
105600,62126,237.7798
105700,62156,237.8121
105800,62149,237.881
105900,62175,238.0027
106000,62192,238.1057
106100,62202,238.2452
106200,62248,238.3238
106300,62263,238.5246
106400,62288,238.6717
106500,62293,238.6485
106600,62297,238.7484
106700,62323,238.8172
106800,62326,238.9368
106900,62348,239.0524
